Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C15, C17, C2, C25, C26, C27, C28, C29, C3, C31, C39, C4, C40, C41, C42, C43, C45, C5, C53, C54, C55, C56, C57, C58, C6, C61, C62",0402,28,100nF,
"C10, C11, C7, C9",0603,4,22uF,
"C18, C33, C46, C8",0603,4,4.7uF,
"C59, C63",0805,2,22uF,
D4,0603,1,LED,
J1,JST_SH_BM08B-SRSS-TB_1x08-1MP_P1.00mm_Vertical,1,JST SH 1.0mm,
L1,0603,1,XRIM160808SR47MBCD,
"Q1, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, Q19, Q2, Q20, Q21, Q22, Q23, Q24, Q3, Q4, Q5, Q6, Q7, Q8, Q9",POWERPAK-1212-8_L3.0-W3.0-P0.65-LS3.3-BL,24,Q_NMOS,
"R1, R2, R27, R28, R3, R32, R33, R37, R38, R4, R47, R48, R5, R52, R53, R57, R58, R6, R67, R68, R72, R73, R77, R78",0402,24,22R,
"R10, R15, R18, R19, R22, R9",RES_4D03_0603_3P2X1P6_ROH,6,~,
"R11, R13, R16, R26, R29, R30, R31, R34, R35, R36, R39, R40, R46, R49, R66, R8",0402,16,1k,
R21,BVNZR000510,1,0.5m,
"R25, R43, R45, R65, R7, R83",0402,6,10k,
R42,0402,1,100k,
R64,0402,1,2.2k,
R82,0603,1,124k,
"TP1, TP3, TP6, TP8",TestPoint_Pad_D1.0mm,4,SWDIO,
"TP2, TP4, TP5, TP7",TestPoint_Pad_D1.0mm,4,SWDCLK,
"U1, U5, U7, U9",QFN-24_L4.0-W4.0-P0.50-TL-EP2.8,4,NSG2065Q,C41414478
U10,WSON-6_L2.0-W2.0-P0.65-TL-EP,1,TLV76733DRVR,C2848334
U11,SOT-23-6_L2.9-W1.6-P0.95-LS2.9-BL,1,LMR51420YDDCR,C5383002
"U2, U4, U6, U8",QFN-28_L4.0-W4.0-P0.40-TL-EP2.4,4,AT32F421G8U7,C2765098
U3,SOT-23-5,1,INA180B2,
